product,category,date,predicted_sales,lower_bound,upper_bound,type,MAE,Error_%
Black Tea - Large Cup,Hot Drinks,10/16/2022,0.107577369,0,15.87014043,category_distribution,19.77386391,78.14413574
Black Tea - Large Cup,Hot Drinks,10/17/2022,0.08293876,0,13.97345421,category_distribution,19.77386391,78.14413574
Black Tea - Large Cup,Hot Drinks,10/18/2022,0.131698841,0,16.72883397,category_distribution,19.77386391,78.14413574
Black Tea - Large Cup,Hot Drinks,10/19/2022,0.098161009,0,15.55970319,category_distribution,19.77386391,78.14413574
Black Tea - Large Cup,Hot Drinks,10/20/2022,0.148301897,0,17.40504979,category_distribution,19.77386391,78.14413574
Black Tea - Large Cup,Hot Drinks,10/21/2022,0.186279838,0,20.41687122,category_distribution,19.77386391,78.14413574
Black Tea - Large Cup,Hot Drinks,10/22/2022,0.173974098,0,18.62664929,category_distribution,19.77386391,78.14413574
Black Tea - Large Teapot,Hot Drinks,10/16/2022,0.137652763,0,15.87014043,category_distribution,19.77386391,78.14413574
Black Tea - Large Teapot,Hot Drinks,10/17/2022,0.10612594,0,13.97345421,category_distribution,19.77386391,78.14413574
Black Tea - Large Teapot,Hot Drinks,10/18/2022,0.168517872,0,16.72883397,category_distribution,19.77386391,78.14413574
Black Tea - Large Teapot,Hot Drinks,10/19/2022,0.125603872,0,15.55970319,category_distribution,19.77386391,78.14413574
Black Tea - Large Teapot,Hot Drinks,10/20/2022,0.189762642,0,17.40504979,category_distribution,19.77386391,78.14413574
Black Tea - Large Teapot,Hot Drinks,10/21/2022,0.238358072,0,20.41687122,category_distribution,19.77386391,78.14413574
Black Tea - Large Teapot,Hot Drinks,10/22/2022,0.222612018,0,18.62664929,category_distribution,19.77386391,78.14413574
Black Tea - Small Cup,Hot Drinks,10/16/2022,2.518958472,0,6.08335301,high_item_model,2.228589862,52.50604386
Black Tea - Small Cup,Hot Drinks,10/17/2022,3.105098493,0,7.055000835,high_item_model,2.228589862,52.50604386
Black Tea - Small Cup,Hot Drinks,10/18/2022,1.786830224,0,5.265831384,high_item_model,2.228589862,52.50604386
Black Tea - Small Cup,Hot Drinks,10/19/2022,2.665964806,0,6.185173149,high_item_model,2.228589862,52.50604386
Black Tea - Small Cup,Hot Drinks,10/20/2022,2.34874365,0,5.84634652,high_item_model,2.228589862,52.50604386
Black Tea - Small Cup,Hot Drinks,10/21/2022,2.690744071,0,6.212455379,high_item_model,2.228589862,52.50604386
Black Tea - Small Cup,Hot Drinks,10/22/2022,3.059278259,0,6.755558578,high_item_model,2.228589862,52.50604386
Black Tea - Small Teapot,Hot Drinks,10/16/2022,0.452287649,0,15.87014043,category_distribution,19.77386391,78.14413574
Black Tea - Small Teapot,Hot Drinks,10/17/2022,0.348699518,0,13.97345421,category_distribution,19.77386391,78.14413574
Black Tea - Small Teapot,Hot Drinks,10/18/2022,0.55370158,0,16.72883397,category_distribution,19.77386391,78.14413574
Black Tea - Small Teapot,Hot Drinks,10/19/2022,0.412698436,0,15.55970319,category_distribution,19.77386391,78.14413574
Black Tea - Small Teapot,Hot Drinks,10/20/2022,0.623505824,0,17.40504979,category_distribution,19.77386391,78.14413574
Black Tea - Small Teapot,Hot Drinks,10/21/2022,0.783176522,0,20.41687122,category_distribution,19.77386391,78.14413574
Black Tea - Small Teapot,Hot Drinks,10/22/2022,0.731439489,0,18.62664929,category_distribution,19.77386391,78.14413574
Blue Mojito,Cold Drinks,10/16/2022,2.928524172,0,6.706774108,high_item_model,1.8157796,51.51147803
Blue Mojito,Cold Drinks,10/17/2022,2.367476351,0,5.914636147,high_item_model,1.8157796,51.51147803
Blue Mojito,Cold Drinks,10/18/2022,2.928362501,0,6.702980342,high_item_model,1.8157796,51.51147803
Blue Mojito,Cold Drinks,10/19/2022,3.099009493,0,6.8396294,high_item_model,1.8157796,51.51147803
Blue Mojito,Cold Drinks,10/20/2022,3.879405057,0.257657312,7.623917356,high_item_model,1.8157796,51.51147803
Blue Mojito,Cold Drinks,10/21/2022,4.78175097,1.010052011,8.340928112,high_item_model,1.8157796,51.51147803
Blue Mojito,Cold Drinks,10/22/2022,3.853271009,0.382678583,7.430911303,high_item_model,1.8157796,51.51147803
Blueberry Smoothie,Cold Drinks,10/16/2022,0.048554544,0,14.64728763,category_distribution,3.943324011,40.39931058
Blueberry Smoothie,Cold Drinks,10/17/2022,0.04234389,0,14.00312011,category_distribution,3.943324011,40.39931058
Blueberry Smoothie,Cold Drinks,10/18/2022,0.045901227,0,15.34468989,category_distribution,3.943324011,40.39931058
Blueberry Smoothie,Cold Drinks,10/19/2022,0.054575128,0.875830125,16.37051785,category_distribution,3.943324011,40.39931058
Blueberry Smoothie,Cold Drinks,10/20/2022,0.062318746,1.834870455,17.49880893,category_distribution,3.943324011,40.39931058
Blueberry Smoothie,Cold Drinks,10/21/2022,0.064325818,2.568058488,18.28563963,category_distribution,3.943324011,40.39931058
Blueberry Smoothie,Cold Drinks,10/22/2022,0.056972024,0.905776109,16.58538418,category_distribution,3.943324011,40.39931058
Blueberry cheesecake,Sweets,10/16/2022,0.628971855,0,18.07429114,category_distribution,16.70617491,68.69555739
Blueberry cheesecake,Sweets,10/17/2022,0.497687996,0,16.87794988,category_distribution,16.70617491,68.69555739
Blueberry cheesecake,Sweets,10/18/2022,0.64632761,0,19.01422819,category_distribution,16.70617491,68.69555739
Blueberry cheesecake,Sweets,10/19/2022,0.646760426,0,19.21328758,category_distribution,16.70617491,68.69555739
Blueberry cheesecake,Sweets,10/20/2022,0.908593322,0,22.05367507,category_distribution,16.70617491,68.69555739
